호텔크라운인사동,서울특별시 종로구,02)3676-8000                                                                                                                                                                            /02)3676-1551,0
캘리포니아관광호텔,서울특별시 송파구,02)401-4605                                                                                                                                                                                  /02)431-1661,16
호텔크라운이태원,서울특별시 용산구,02)797-4111~9                                                                                                                                                                                  /02)796-1010,8
팝그린관광호텔,서울특별시 강남구,02)544-6623                                                                                                                                                                                  /02)543-2112,7
풍전호텔,서울특별시 중구,02)2266-2151~9                                                                                                                                                                                  /02)2274-5734,20
한강관광호텔,서울특별시 광진구,02)453-5131                                                                                                                                                                                  /02)453-5130,4
해밀톤호텔,서울특별시 용산구,02)6393-1200                                                                                                                                                                        /02)795-0457,5
호텔그린월드,서울특별시 강서구,02)2653-1999                                                                                                                                                                                  /02)2651-1389,1
호텔노스탈자,서울특별시 강서구,02)2691-0071                                                                                                                                                                                  /02)2692-6791,2
호텔빅토리아,서울특별시 강북구,02)986-2000                                                                                                                                                                                  /02)984-3679,1
호텔서교,서울특별시 마포구 ,02)330-7777                                                                                                                                                                                /02)335-5938,3
호텔선샤인,서울특별시 강남구,02)541-1818                                                                                                                                                                                  /02)515-7222,4
호텔센트로,서울특별시 서초구,02)3486-6000                                                                                                                                                                                  /02)3486-6022,1
이비스앰배서더서울,서울특별시 강남구,02)3011-8010                                                                                                                                                                                  /02)3011-8101,1
가락관광호텔,서울특별시 송파구,02)401-0877                                                                                                                                                                                  /02)401-0879,5
㈜호텔인터불고,대구광역시 수성구,053-952-0088,21
호텔G.S프라자,대구광역시 동구 ,053-986-2500,3
㈜그랜드관광호텔,대구광역시 수성구 ,053-742-0001,7
프린스관광호텔,대구광역시 남구 ,053-628-1001                  053-690-5600,2
세인트웨스턴호텔,대구광역시 달서구 ,053-589-6700,3
엘디스리젠트호텔,대구광역시광역시 중구 ,053-253-7711,5
호텔에어포트,대구광역시 동구 ,053-260-0359,2
호텔제이스,대구광역시 동구 ,053-757-6120,2
가든관광호텔,대구광역시 남구 ,053-471-9911                         053-472-7900,4
뉴영남관광호텔,대구광역시 수성구 ,053-752-1001,6
대구수성관광호텔,대구광역시 수성구,053-763-7311,10
,,,
,,,
